card_id,anki_note_id,ord
1773419770401,1773419770400,0
1773419770402,1773419770400,1
1773419770404,1773419770403,0
1773419770405,1773419770403,1
1773419770407,1773419770406,0
1773419770408,1773419770406,1
1773419770410,1773419770409,0
1773419770411,1773419770409,1
1773419770413,1773419770412,0
1773419770414,1773419770412,1
1773419770416,1773419770415,0
1773419770417,1773419770415,1
1773419770419,1773419770418,0
1773419770420,1773419770418,1
1773419770422,1773419770421,0
1773419770423,1773419770421,1
1773419770425,1773419770424,0
1773419770426,1773419770424,1
1773419770428,1773419770427,0
1773419770429,1773419770427,1
1773419770431,1773419770430,0
1773419770432,1773419770430,1
1773419770434,1773419770433,0
1773419770435,1773419770433,1
1773419770437,1773419770436,0
1773419770438,1773419770436,1
1773419770440,1773419770439,0
1773419770441,1773419770439,1
1773419770443,1773419770442,0
1773419770444,1773419770442,1
1773419770446,1773419770445,0
1773419770447,1773419770445,1
1773419770449,1773419770448,0
1773419770450,1773419770448,1
1773419770452,1773419770451,0
1773419770453,1773419770451,1
1773419770455,1773419770454,0
1773419770456,1773419770454,1
1773419770458,1773419770457,0
1773419770459,1773419770457,1
1773419770461,1773419770460,0
1773419770462,1773419770460,1
1773419770464,1773419770463,0
1773419770465,1773419770463,1
1773419770467,1773419770466,0
1773419770468,1773419770466,1
1773419770470,1773419770469,0
1773419770471,1773419770469,1
1773419770473,1773419770472,0
1773419770474,1773419770472,1
1773419770476,1773419770475,0
1773419770477,1773419770475,1
1773419770479,1773419770478,0
1773419770480,1773419770478,1
1773419770482,1773419770481,0
1773419770483,1773419770481,1
1773419770485,1773419770484,0
1773419770486,1773419770484,1
1773419770488,1773419770487,0
1773419770489,1773419770487,1
1773419770491,1773419770490,0
1773419770492,1773419770490,1
1773419770494,1773419770493,0
1773419770495,1773419770493,1
1773419770497,1773419770496,0
1773419770498,1773419770496,1
1773419770500,1773419770499,0
1773419770501,1773419770499,1
1773419770503,1773419770502,0
1773419770504,1773419770502,1
1773419770506,1773419770505,0
1773419770507,1773419770505,1
1773419770509,1773419770508,0
1773419770510,1773419770508,1
1773419770512,1773419770511,0
1773419770513,1773419770511,1
1773419770515,1773419770514,0
1773419770516,1773419770514,1
1773419770518,1773419770517,0
1773419770519,1773419770517,1
1773419770521,1773419770520,0
1773419770522,1773419770520,1
1773419770524,1773419770523,0
1773419770525,1773419770523,1
1773419770527,1773419770526,0
1773419770528,1773419770526,1
1773419770530,1773419770529,0
1773419770531,1773419770529,1
1773419770533,1773419770532,0
1773419770534,1773419770532,1
1773419770536,1773419770535,0
1773419770537,1773419770535,1
1773419770539,1773419770538,0
1773419770540,1773419770538,1
1773419770542,1773419770541,0
1773419770543,1773419770541,1
1773419770545,1773419770544,0
1773419770546,1773419770544,1
1773419770548,1773419770547,0
1773419770549,1773419770547,1
1773419770551,1773419770550,0
1773419770552,1773419770550,1
1773419770554,1773419770553,0
1773419770555,1773419770553,1
1773419770557,1773419770556,0
1773419770558,1773419770556,1
1773419770560,1773419770559,0
1773419770561,1773419770559,1
1773419770563,1773419770562,0
1773419770564,1773419770562,1
1773419770566,1773419770565,0
1773419770567,1773419770565,1
1773419770569,1773419770568,0
1773419770570,1773419770568,1
1773419770572,1773419770571,0
1773419770573,1773419770571,1
1773419770575,1773419770574,0
1773419770576,1773419770574,1
1773419770578,1773419770577,0
1773419770579,1773419770577,1
1773419770581,1773419770580,0
1773419770582,1773419770580,1
1773419770584,1773419770583,0
1773419770585,1773419770583,1
1773419770587,1773419770586,0
1773419770588,1773419770586,1
1773419770590,1773419770589,0
1773419770591,1773419770589,1
1773419770593,1773419770592,0
1773419770594,1773419770592,1
1773419770596,1773419770595,0
1773419770597,1773419770595,1
1773419770599,1773419770598,0
1773419770600,1773419770598,1
1773419770602,1773419770601,0
1773419770603,1773419770601,1
1773419770605,1773419770604,0
1773419770606,1773419770604,1
1773419770608,1773419770607,0
1773419770609,1773419770607,1
1773419770611,1773419770610,0
1773419770612,1773419770610,1
1773419770614,1773419770613,0
1773419770615,1773419770613,1
1773419770617,1773419770616,0
1773419770618,1773419770616,1
1773419770620,1773419770619,0
1773419770621,1773419770619,1
1773419770623,1773419770622,0
1773419770624,1773419770622,1
1773419770626,1773419770625,0
1773419770627,1773419770625,1
1773419770629,1773419770628,0
