note_id,fo_word,fo_sentence,na_word,na_sentence,na_note,fo_sentence_audio,fo_word_audio,tags
84886454452,"<span style=""color:#F5279F""><b>die</b></span> Ansage, -n","Hören Sie auf <b><i><span style=""color:#F5279F"">die Ansagen</span></i></b>!",anunț (verbal),Ascultați anunțurile!,,[sound:gtts-sent-d309ad1f-add7047c-10a11347-f557fa87-375d6a49.mp3],[sound:gtts-word-e54abd50-10ad7163-3116382f-a8ecb813-478968f5.mp3],NOUN
84886454453,"<span style=""color:#279FF5""><b>der</b></span> Anschluss, -es, ⸚e","In Mannheim haben Sie <b><i><span style=""color:#279FF5"">Anschluss</span></i></b> nach Saarbrücken.","legătură, racord, conexiune, anexare",În Mannheim ai legătura cu Saarbrücken.,,[sound:gtts-sent-13e9d6ea-9aeb2eb0-a11aada5-801c3822-750efbaa.mp3],[sound:gtts-word-24244305-9859bb83-500dae6f-d5278458-31f30e31.mp3],NOUN
84886454454,"<span style=""color:#279FF5""><b>der</b></span> Anschluss, -es, ⸚e","Ist das die Anmeldung für <b><i><span style=""color:#279FF5"">einen Telefonanschluss</span></i></b>?","legătură, racord, conexiune, anexare",Este aceasta înregistrarea pentru conexiunea telefonică?,,[sound:gtts-sent-005563e2-73da8764-873e7847-f96a719d-fa48fac1.mp3],[sound:gtts-word-24244305-9859bb83-500dae6f-d5278458-31f30e31.mp3],NOUN
84886454455,<b>an sein</b>,Heute Nacht <b><i>war</i></b> das Licht <b><i>an</i></b>.,a fi pornit/aprins,Lumina era aprinsă astă-noapte.,,[sound:gtts-sent-3eb836db-d876f97d-694bb71e-25c791c9-0606262a.mp3],[sound:gtts-word-c9ee7e53-c8e5a300-50289b22-8b445be5-fbbdc1ad.mp3],VERB
84886454456,"<b>antworten</b>, <span style=""color:#0DA6FF"">antwortete</span>, hat <span style=""color:#FFFB3D"">geantwortet</span><br><div><i>(dat., acc., mit+D, auf+A)</i></div>",Er <b><i>antwortet</i></b> nicht.,a răspunde,El nu răspunde.,,[sound:gtts-sent-41f1cb3c-6e297d50-8bfe74ec-e9e718d4-fce80a6d.mp3],[sound:gtts-word-b5055bb4-565a962b-ec7acbba-62680631-b426c958.mp3],VERB
84886454457,"<span style=""color:#F5279F""><b>die</b></span> Antwort, -en","Er gibt leider keine <b><i><span style=""color:#F5279F"">Antwort</span></i></b>.",răspuns,Din păcate nu dă niciun răspuns.,,[sound:gtts-sent-57ce0185-ae673a64-8ae0e632-f6ad2c72-a7f59497.mp3],[sound:gtts-word-c3dd455a-84c2f9ab-04a5a59f-2273d07f-fbead22e.mp3],NOUN
84886454458,"<span style=""color:#F5279F""><b>die</b></span> Anzeige, -n","Ich habe Ihre <b><i><span style=""color:#F5279F"">Anzeige</span></i></b> in der Zeitung gelesen.","anunț, afișaj, denunț (scris)",Am citit anunțul dumneavoastră în ziar.,,[sound:gtts-sent-6d14cb0a-aabf86ce-f5c6e67e-65e944c3-91724af8.mp3],[sound:gtts-word-5a3f9a68-a01f6526-7ec8ef23-f44ca9d4-8332e34a.mp3],NOUN
84886454459,"<b>(sich) anziehen</b>, <span style=""color:#0DA6FF"">zog an</span>, hat <span style=""color:#FFFB3D"">angezogen</span>",Ich muss mich noch <b><i>anziehen</i></b>.,a (se) îmbrăca,Tot trebuie să mă îmbrac.,,[sound:gtts-sent-9031b3f5-35e46467-89d9cd4e-21ebb152-b0609b81.mp3],[sound:gtts-word-a1e796b2-29eab145-736590cc-3317e6e1-ca1e280e.mp3],VERB
84886454460,"<span style=""color:#9FF527""><b>das</b></span> Apartment, -s (Gen + pl.)","Wir haben ein <b><i><span style=""color:#9FF527"">Apartment</span></i></b> gemietet.",apartament,Noi avem un apartament închiriat.,,[sound:gtts-sent-5ac521d1-85ddd2b5-2a9e0fb9-78a2a5cf-c50c849b.mp3],[sound:gtts-word-559e6aff-287bd2c7-4a8bba5d-59662e41-80a480b5.mp3],NOUN
84886454461,"<span style=""color:#279FF5""><b>der</b></span> Apfel, -s, die Äpfel","Ein Pfund <b><i><span style=""color:#279FF5"">Äpfel</span></i></b> bitte.",măr,"Un pfund de mere, vă rog.",,[sound:gtts-sent-47f64f81-d4405f8a-e8cb09f2-e0b70d66-3cb80cc0.mp3],[sound:gtts-word-e1a8b8bb-679addad-e4b15876-a8b1cf88-a1a4d723.mp3],NOUN
